Product Name,Sale Price (₹),Original Price (₹),Discount,Product URL
Cafe Coffee Kit (pick any 3),269.00,799.00,Yes,https://www.bevzilla.co/products/cafe-coffee-kit-pick-any-3
Everyday Protein Coffee,349.00,432.00,Yes,https://www.bevzilla.co/products/protein-coffee
Himalayan Shilajit Coffee | 40 Sachets,379.00,560.00,Yes,https://www.bevzilla.co/products/himalayan-shilajit-coffee-40-sachets-new
50 grams x 3 Coffee Jars Combo with Electric frother,1949.00,,No Discount,https://www.bevzilla.co/products/50-grams-x-3-coffee-jars-combo-with-electric-frother
4 Flavoured Coffee Jars & Cafe Glass Gift Box,656.00,2699.00,Yes,https://www.bevzilla.co/products/diwali-gift-box-3
Iced Tea Powder 10 Assorted Flavours Pack,279.00,,No Discount,https://www.bevzilla.co/products/iced-tea-powder-10-assorted-flavours-pack
Iced Tea Powder 5 Assorted Flavours Pack,133.00,249.00,Yes,https://www.bevzilla.co/products/instant-iced-tea-assorted-pack
Premium Classic Strong Coffee Powder- Pack of 2 (200gm x 2),669.00,1598.00,Yes,https://www.bevzilla.co/products/premium-classic-strong-coffee-powder-pack-of-2-200gm-x-2
Chocolate & Mocha 200gm Jar + Belgian Chocolate Coffee Cubes (10 Cubes Pack),549.00,1348.00,Yes,https://www.bevzilla.co/products/chocolate-mocha-200gm-jar-belgian-chocolate-coffee-cubes-10-combo
Premium Classic Strong Coffee Powder 200gm + Coffee Mug + Frother Combo,599.00,1199.00,Yes,https://www.bevzilla.co/products/premium-classic-strong-cofee-powder-200gm-coffee-mug-frother-combo
Premium Classic Strong Coffee Powder 200gm + Free Coffee Mug,299.00,899.00,Yes,https://www.bevzilla.co/products/premium-classic-strong-cofee-powder-200gm-free-coffee-mug
Chocolate & Mocha + Dark Wish Coffee Powder Combo (200gm X 2),660.00,1798.00,Yes,https://www.bevzilla.co/products/chocolate-mocha-dark-wish-coffee-powder-combo-200gm-x-2
Choco- Hazelnut Milkshake Cubes (Combo Pack of 10 x 2),349.00,698.00,Yes,https://www.bevzilla.co/products/choco-hazelnut-milkshake-cubes-combo-pack-of-10-x-2
Turkish Hazelnut + Classic Coffee Powder - Combo Pack of 50g x 2,248.00,,No Discount,https://www.bevzilla.co/products/turkish-hazelnut-colombian-gold-coffee-powder-combo-pack-of-50g-x-2
Turkish Hazelnut Premium Edition Pack - 2 Free Coffee Mugs,399.00,359.00,Yes,https://www.bevzilla.co/products/turkish-hazelnut-premium-edition-pack-2-free-coffee-mugs
English Butterscotch Premium Edition Pack - 2 Free Coffee Mugs,399.00,359.00,Yes,https://www.bevzilla.co/products/english-butterscotch-premium-edition-pack-2-free-coffee-mugs
French Vanilla Premium Edition Pack - 2 Free Coffee Mugs,399.00,359.00,Yes,https://www.bevzilla.co/products/french-vanilla-premium-edition-pack-2-free-coffee-mugs
Turkish Hazelnut Premium Edition Pack - Free Coffee Mug,197.00,259.00,Yes,https://www.bevzilla.co/products/turkish-hazelnut-premium-edition-pack-free-coffee-mug
English Butterscotch Premium Edition Pack - Free Coffee Mug,204.00,259.00,Yes,https://www.bevzilla.co/products/english-butterscotch-premium-edition-pack-free-coffee-mug
French Vanilla Premium Edition Pack - Free Coffee Mug,204.00,259.00,Yes,https://www.bevzilla.co/products/french-vanilla-premium-edition-pack-free-coffee-mug
Assorted Pack of Flavoured,169.00,299.00,Yes,https://www.bevzilla.co/products/48-sachets-assorted-coffee-powder-box-test
Himalayan Shilajit Coffee,379.00,824.00,Yes,https://www.bevzilla.co/products/himalayan-shilajit-coffee-1
84 Sachets Assorted Coffee Powder Box (Testing),379.00,518.00,Yes,https://www.bevzilla.co/products/84-sachets-assorted-coffee-powder-box-testing
Bevzilla Dark Wish Roast Coffee Powder - 24 Sachets,159.00,,No Discount,https://www.bevzilla.co/products/bevzilla-dark-wish-roast-coffee-powder-24-sachets
Classic Instant Coffee Jar (75 Grams),179.00,375.00,Yes,https://www.bevzilla.co/products/instant-coffee-powder-coloumbian-gold-flavour-75-gm
All In One Trial Box,279.00,499.00,Yes,https://www.bevzilla.co/products/get-bev-go-trial-box
8 Flavoured Milkshake Cubes + Shaker,199.00,499.00,Yes,https://www.bevzilla.co/products/milkshake-shaker-8-cubes
200GM Dark Roast Coffee Jar,399.00,799.00,Yes,https://www.bevzilla.co/products/dark-roast-dark-wish-coffee-powder-jar-200gm
Vanilla Coffee Jar (75 Grams),179.00,375.00,Yes,https://www.bevzilla.co/products/instant-coffee-powder-french-vanilla-flavour-75-gm
Coffee Jar (75 Grams),179.00,375.00,Yes,https://www.bevzilla.co/products/instant-coffee-powder-turkish-hazelnut-flavour-75-gm
Butterscotch Coffee Jar (75 Grams),179.00,375.00,Yes,https://www.bevzilla.co/products/instant-coffee-powder-english-butterscotch-flavour-75gm
24 Assorted Coffee Powder Sachets Pack Of 2,205.00,239.00,Yes,https://www.bevzilla.co/products/24-sachets-assorted-coffee-powder-box-pack-of-2
Bevzilla Instant Iced Tea Watermelon  30gm X5,141.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-iced-tea-watermelon-30gm-x5
Bevzilla Instant Iced Tea Blackcurrant  30gm X5,141.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-iced-tea-blackcurrant-30gm-x5
Bevzilla Instant Iced Tea Blueberry 30gm X5,141.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-iced-tea-blueberry-30gm-x5
Bevzilla instant iced tea peach 30gm x5,141.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-iced-tea-peach-30gm-x5
